AsOf,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,r_5,r_10,r_15,r_20,r_25,r_30,r_35,r_40,r_45,r_50,r_55,r_60,r_65,r_70,r_75,r_80,r_85,r_90,r_95,vol_5,vol_10,vol_15,vol_20,vol_25,vol_30,vol_35,vol_40,vol_45,vol_50,vol_55,vol_60,vol_65,vol_70,vol_75,vol_80,vol_85,vol_90,vol_95
2018-03-14,2.7635029001499998,4.7172181125699995,6.69592288995,8.65018051157,10.857541241500002,12.9325037053,15.1066919626,17.5730377118,20.0676084026,22.656009046799998,25.5850293731,28.824831916599997,32.3174800077,36.381663445,40.8104589226,45.7920514591,51.679199000299995,57.9936193559,64.569576738,236.378076486,192.538431275,150.543560371,114.28658049399999,89.7199431623,70.5730811539,56.8597459558,46.81823925,38.4633313129,31.459606657600002,25.729679776199998,20.9242927122,16.718829948,13.162783801600002,10.0724622587,7.207683976589999,4.72559381788,2.76620569413,0.863161806548,0.918535025019,0.841637503801,0.769834988203,0.709762103571,0.667324050078,0.624496961245,0.5923941364859999,0.5718652735499999,0.551544594046,0.531939394894,0.517090114117,0.504978025106,0.49298668441699994,0.48406391827699996,0.472777365281,0.462375220829,0.450590963902,0.425477426615,0.399672203007
2018-03-15,2.71102708638,4.68371038268,6.658659301189999,8.69326116731,10.832047808199999,12.8869040681,15.130536169,17.5579884226,20.0586573703,22.6780430179,25.6296023017,28.8501541629,32.288533952899996,36.3527649023,40.6379603794,45.3793762562,50.9720994388,56.5648226215,62.157545804099996,235.551152937,191.985218471,150.310400436,113.84036566700001,89.5191040208,70.4118425419,56.9065692291,46.846451934099996,38.4321785506,31.4179302669,25.7202148139,20.9269242735,16.731692641800002,13.182278565899999,10.0519537639,7.15148212895,4.53547619389,1.9194702588299999,0.036697949040399996,0.9143471504459999,0.838591584888,0.7680317912260001,0.7073700318520001,0.666101193707,0.6233982189,0.592037789404,0.5714516616149999,0.5510912453600001,0.531406998769,0.516773529813,0.504800927207,0.49301414026100004,0.484364266417,0.471266022342,0.458149435423,0.447265411734,0.43638138804399995,0.425497364355
2018-03-16,2.71948089607,4.45753782668,6.254801174500001,8.18666034865,10.0995430928,12.098501181700001,14.271966201700002,16.5400019832,18.9013330778,21.451634053,24.269919935100003,27.3012043861,30.8311612661,34.54716180760001,38.3782143476,43.1638839684,47.9564204816,52.7489569948,57.5414935079,236.068450084,186.49916798400002,141.810324821,106.45259317,82.54417815560001,65.2270777195,53.618523406899996,43.9684882087,36.030270191199996,29.608087177399998,24.30568782,19.7374590393,15.921816693299998,12.508269976800001,9.33265186417,6.7100396921000005,4.0907037947500005,1.4713678974000002,0.0,0.898910548012,0.8147378064640001,0.742756752953,0.684600805006,0.638140692336,0.598407714326,0.575755287108,0.5533647781700001,0.532179930951,0.515412928274,0.5031718211649999,0.49100112335699997,0.48225046658799997,0.471012652822,0.4572545640690001,0.44724890045599996,0.43724356698899997,0.4272382335230001,0.417232900056
2018-03-19,2.2960037030900002,4.35228115798,6.4450370762699976,8.57931434778,10.6820557499,12.7592351387,15.0179805826,17.3876768332,19.89412757,22.416782551,25.3227156746,28.4915662668,31.9059609631,35.953869301,40.167587482100004,44.861675329499995,52.8963000033,109.78948348600001,166.68266696799998,226.4909999,186.37614986,147.657396552,112.07680975299999,88.21161238120001,69.5805559684,56.4884638846,46.3056505844,37.9011028034,30.890901310300002,25.3648442664,20.6474188862,16.4675317057,13.005297600899999,9.8960593521,7.024577363350001,4.548764962330001,3.2255225300200014,1.90228009772,0.891349886167,0.823203585159,0.758744569973,0.700496008132,0.660821541096,0.6187813764810001,0.589957222988,0.567916839858,0.546238756885,0.525125459588,0.510678934727,0.498336624164,0.48649687176399997,0.47805623817599996,0.46510595979999997,0.452477459974,0.44410677885300004,0.43124549468400003,0.418384210514
2018-03-20,2.32741243804,4.88790170433,7.444962897969999,9.88711775222,12.387095929700001,14.7607382427,17.3294497323,20.1320170823,22.9575430555,25.932234113200003,29.2596931126,32.9388186097,36.8703822813,41.4910235987,46.4258618775,51.9204078359,58.572237558599994,65.2472527654,71.9222679722,258.465551767,210.298491352,163.766224732,123.775936745,97.8598739243,77.4595814164,62.9310986028,51.7180755399,42.381082744299995,34.6484925886,28.3221931312,23.017938650100003,18.349568136600002,14.4898886285,11.0346968453,7.94980618766,5.27332728581,2.6045118936200002,0.0251275606235,0.811541131296,0.7493202255850001,0.690243040621,0.637172303599,0.601644589291,0.56390699929,0.536906335113,0.516650869704,0.496338832789,0.47764415085199996,0.463257001911,0.451958883034,0.4412282135490001,0.432237501988,0.421099921391,0.409146273058,0.3984848993720001,0.387798495937,0.377112092503
2018-03-21,2.73104790467,5.01630693513,7.3148491896,9.64836050441,12.021662909100002,14.238668506,16.8274713932,19.4637246762,22.130602559699998,25.0202755231,28.3630634891,31.9953346683,36.01091359730001,40.3785389856,45.0169872063,50.661658616800004,56.7805615669,62.899464517,69.0183674671,259.882287036,209.218018541,159.653851682,120.80598348299999,94.4442529976,74.47580036869998,60.6596035371,49.8239222134,40.7843534349,33.2802867358,27.3991153917,22.350643823000002,17.9278283378,14.0273351422,10.6431308715,7.776161920660001,5.14176668225,2.50737144384,0.0021119090856400002,0.810873028706,0.7465557135750001,0.6842901065360001,0.63358944511,0.592059664245,0.5530062240160001,0.5291041947730001,0.507725409,0.487414629345,0.469332464313,0.457904603397,0.447101145896,0.437703278636,0.429015758629,0.416716860217,0.40667326438100004,0.397637878084,0.388602491787,0.379567105491
2018-03-22,2.3643931874599997,5.24614627211,8.12789935676,11.009652441400002,13.7146882341,16.594781994,19.3828738908,22.201875624,25.5021887441,28.7878062152,32.294157386,35.9959628358,40.3788552535,45.2666182475,50.8070555758,57.0059165053,64.032602287,73.0640175345,82.095432782,254.82614559200002,217.003136356,179.18012712,141.357117884,110.99089044,89.24185525360001,71.34951106140001,57.683312700500004,47.618349349700004,38.8952534189,31.5246021595,25.3065573106,20.2743474977,15.8965519689,12.0814876036,8.76228918224,5.85174856964,3.39755964369,0.9433707177420001,0.831438435125,0.782888933376,0.7343394316259999,0.685789929877,0.64514307088,0.613884281097,0.578285136347,0.5499691013629999,0.531797429788,0.512654949997,0.493991460054,0.47677486842600003,0.465671574442,0.454789280315,0.44508252376900004,0.43432580897600004,0.42049866446199996,0.40857364373300004,0.39664862300399994
2018-03-23,3.5038015695399998,6.3198125234399996,9.135823477339999,11.951834431199998,14.8378865431,17.9540967937,21.151741448699998,24.2267421265,27.413587620999998,31.0803742227,34.9270526911,38.9004822651,43.211987083100006,48.2198818586,53.9402049542,60.6087134006,68.8136863309,79.1097942313,91.426121431,247.52726691400002,215.699519671,183.871772427,152.044025184,120.87521504700001,97.1161384092,78.9723742556,63.668408374399995,51.5494961395,42.2031594864,34.332143069299995,27.5182195179,21.7784604772,17.0174513582,12.9388391652,9.3889296615,6.378011014069999,3.7492770807899998,1.3434002528,0.833047031362,0.791655332824,0.750263634285,0.7088719357459999,0.667699122213,0.6359217954699999,0.608156450136,0.576804439949,0.5503812989019999,0.532379085805,0.51452516054,0.49646852635399996,0.479155081659,0.466083406722,0.454829173099,0.444482100626,0.435523062569,0.4238560634699999,0.411076273529
2018-03-26,3.0183487533099997,5.633394346679999,8.256109027319999,10.864699748,13.695739559200002,16.498641997,19.1438058666,22.0547431239,25.3076088084,28.633236042600004,32.0612379135,35.7495061312,40.0969534685,45.025369850299995,50.697547698,57.2555848524,64.8590063458,74.2980464937,83.5272140991,252.48656535,215.787953341,178.03118605400002,138.500039647,109.43808936799999,87.8501012227,70.1416147222,57.287565529,47.2352561825,38.6025051818,31.277411296500002,25.0586958961,20.1463077605,15.8673890231,12.137855084100002,8.87743011395,5.94818281155,3.5000052295499997,1.02374070748,0.812995279824,0.7691403519600001,0.723282205527,0.6731599261169999,0.636938206357,0.605005334719,0.570115584976,0.5447183541089999,0.526748102201,0.507817721557,0.48957275065399997,0.473337712697,0.463216942439,0.45287794075599996,0.44472088674599997,0.43750319451700004,0.42858778141000003,0.418989366205,0.409651179028
2018-03-27,2.8626970487400003,5.35225313893,7.8299891839699995,10.3747656767,13.0374971477,15.5643533025,18.1675678306,21.13285317,24.1637667724,27.335992494,30.629235922,34.498912939,38.7770032877,43.574319045299994,49.1363234241,55.555263510799996,63.2794884146,71.2769629597,79.2733285519,253.964154355,214.379904128,171.303137757,130.175110499,103.971821444,82.2922838818,66.1719519261,54.464251941099995,44.769452913900004,36.571993162199995,29.6323879725,24.2736814793,19.5109035991,15.300698848800002,11.6998921275,8.562607309410001,5.8288397638300005,3.20886609418,0.588892424527,0.8044068334029999,0.75872221814,0.70621329622,0.653858085485,0.623070033254,0.584189230672,0.552503090372,0.533239996935,0.513476000777,0.49432366435099995,0.476731366885,0.466282894221,0.45614116688600004,0.447313953202,0.441313814045,0.433314997698,0.424796406168,0.41642376624899996,0.408052404695
2018-03-28,3.1379157748299997,5.67969667489,8.22147757496,10.7676692794,13.5528574803,16.4375283226,19.218565380999998,22.0799404382,25.3451347075,28.72112985630001,32.2299753198,35.9635062396,40.2334476373,45.0200439538,50.312208588699995,56.8943658249,64.6581054081,74.33999283,84.6545232054,243.28545613,207.29934007900002,171.31322402700002,135.560784275,108.10631078799999,87.6273065286,70.5359136692,57.2906880333,47.2540443154,38.6521310371,31.3833778688,25.3511575675,20.2527241949,15.860322969,12.0040327968,8.76338738928,5.9735737791100005,3.5277908237,1.17400310326,0.797381768593,0.752661315034,0.7079408614749999,0.663292671165,0.62782875414,0.598987890399,0.566687789073,0.540577721363,0.523382741631,0.505549952903,0.48816089468999996,0.471908947214,0.45933121395000004,0.448776275927,0.438516051369,0.431191986339,0.421851654949,0.411456972425,0.400722010745
